City,community_id,Community,Latitude,Longitude,Pincode,Tonnage Apr 2025,Trees Saved Apr 2025,CO2 Kgs Averted Apr 2025,Households Participation % Apr 2025,Segregation Compliance % Apr 2025,Tonnage May 2025,Trees Saved May 2025,CO2 Kgs Averted May 2025,Households Participation % May 2025,Segregation Compliance % May 2025,Tonnage Jun 2025,Trees Saved Jun 2025,CO2 Kgs Averted Jun 2025,Households Participation % Jun 2025,Segregation Compliance % Jun 2025,Tonnage Jul 2025,Trees Saved Jul 2025,CO2 Kgs Averted Jul 2025,Households Participation % Jul 2025,Segregation Compliance % Jul 2025,Tonnage Aug 2025,Trees Saved Aug 2025,CO2 Kgs Averted Aug 2025,Households Participation % Aug 2025,Segregation Compliance % Aug 2025,Tonnage Sep 2025,Trees Saved Sep 2025,CO2 Kgs Averted Sep 2025,Households Participation % Sep 2025,Segregation Compliance % Sep 2025,Tonnage Oct 2025,Trees Saved Oct 2025,CO2 Kgs Averted Oct 2025,Households Participation % Oct 2025,Segregation Compliance % Oct 2025
Hyderabad,577,C420,17.40667,78.40519,500008,168.19,1.51,370.018,27.04,,188.43,1.692,414.546,23.55,,236.85,2.126,521.07,27.96,,239.44,2.15,526.768,33.02,,250.21,2.246,550.462,29.43,,157.31,1.412,346.082,29.58,,279.65,2.511,615.23,33.58,
Hyderabad,30,C421,17.43259,78.40707,500033,144.08,1.293,316.976,35.29,,178.15,1.599,391.93,30.91,,128.79,1.156,283.338,28.41,,161.62,1.451,355.564,32.95,,231.21,2.076,508.662,35.45,,130.31,1.17,286.682,30.68,,225.37,2.023,495.814,34.55,
Hyderabad,72,C422,17.46782,78.40768,500018,506.6,4.548,1114.52,27.18,,572.42,5.139,1259.324,25.34,,540.42,4.852,1188.924,27.85,,661.5,5.939,1455.3,31.8,,737.34,6.619,1622.148,30.58,,579.61,5.203,1275.142,29.43,,815,7.317,1793,29.83,
Hyderabad,548,C423,17.48244,78.4078,500087,0,0,0,0,,2.7,0.024,5.94,2.5,,0,0,0,0,,0,0,0,0,,1.2,0.011,2.64,2.5,,2,0.018,4.4,4,,1.9,0.017,4.18,2.5,
Hyderabad,526,C424,17.46575,78.40828,500018,18.38,0.165,40.436,50,,31.18,0.28,68.596,29.17,,27.42,0.246,60.324,45,,24.64,0.221,54.208,55,,43.74,0.393,96.228,56,,19.96,0.179,43.912,50,,49.74,0.447,109.428,64,
Hyderabad,36,C425,17.4679,78.41515,500072,113.3,1.017,249.26,54.55,,101.09,0.908,222.398,50.91,,70.58,0.634,155.276,47.73,,93.14,0.836,204.908,54.55,,102.15,0.917,224.73,49.09,,106.46,0.956,234.212,52.27,,121.96,1.095,268.312,47.27,
Hyderabad,521,C426,17.37802,78.41954,500008,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,528,C427,17.58111,78.42319,500043,0,0,0,0,,0,0,0,0,,0,0,0,0,,3.1,0.028,6.82,1.82,,10.26,0.092,22.572,6.52,,0,0,0,0,,0,0,0,0,
Hyderabad,364,C428,17.37009,78.42528,500030,258.75,2.323,569.25,22.91,,218.46,1.961,480.612,23.96,,230.06,2.065,506.132,23.26,,326.02,2.927,717.244,29.5,,204.57,1.837,450.054,28.11,,288.56,2.591,634.832,35.32,,395.07,3.547,869.154,32.96,
Hyderabad,527,C429,17.29753,78.43269,500077,11.96,0.107,26.312,3.26,,26.61,0.239,58.542,9.78,,33.75,0.303,74.25,14.29,,27.25,0.245,59.95,12.96,,34.92,0.313,76.824,14.29,,44.74,0.402,98.428,17.73,,42.49,0.381,93.478,17.24,
Hyderabad,47,C430,17.42148,78.43514,500034,69.89,0.627,153.758,60.98,,101.48,0.911,223.256,64,,76.41,0.686,168.102,69.44,,71.18,0.639,156.596,55.56,,78.37,0.704,172.414,53.33,,46.48,0.417,102.256,50,,87.15,0.782,191.73,55.56,
Hyderabad,79,C431,17.48996,78.43522,500037,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,55,C432,17.31393,78.4367,500077,173.71,1.559,382.162,37.5,,161.83,1.453,356.026,43.18,,248.72,2.233,547.184,46.05,,163.07,1.464,358.754,46.11,,193.48,1.737,425.656,53.33,,252.64,2.268,555.808,54.67,,241.71,2.17,531.762,50.56,
Hyderabad,59,C433,17.3108,78.43771,500077,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,29,C434,17.41689,78.43867,500034,104.91,0.942,230.802,52.94,,114.9,1.032,252.78,50.59,,98.02,0.88,215.644,50,,100.13,0.899,220.286,53.95,,133.72,1.2,294.184,49.47,,122.41,1.099,269.302,51.32,,295.89,2.656,650.958,51,
Hyderabad,255,C435,17.42124,78.44065,500052,14.2,0.127,31.24,18.75,,25.54,0.229,56.188,19.23,,19.06,0.171,41.932,17.5,,13.38,0.12,29.436,12.5,,34.54,0.31,75.988,22,,20.92,0.188,46.024,22.5,,28.44,0.255,62.568,24,
Hyderabad,332,C436,17.42316,78.4412,500034,77.2,0.693,169.84,28.85,,90.99,0.817,200.178,27.69,,91.94,0.825,202.268,35.58,,93.53,0.84,205.766,31.73,,112.12,1.007,246.664,31.54,,110.16,0.989,242.352,30.39,,123.25,1.106,271.15,30.4,
Hyderabad,80,C437,17.51938,78.44303,500055,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,244,C438,17.56582,78.47058,500043,70.17,0.63,154.374,9.15,,53.6,0.481,117.92,7.88,,64.1,0.575,141.02,7.38,,61.7,0.554,135.74,4.45,,121.1,1.087,266.42,13.45,,97.9,0.879,215.38,10.05,,102.9,0.924,226.38,9.88,
Hyderabad,259,C439,17.56741,78.47359,501401,4.35,0.039,9.57,25,,3.7,0.033,8.14,33.33,,5.8,0.052,12.76,33.33,,0,0,0,0,,1.5,0.013,3.3,8.33,,2.5,0.022,5.5,26.67,,6.1,0.055,13.42,25,
Hyderabad,459,C440,17.51736,78.48551,500067,17.7,0.159,38.94,10.94,,45.7,0.41,100.54,17.19,,49.05,0.44,107.91,13.75,,24.5,0.22,53.9,18.75,,41.1,0.369,90.42,21.88,,41.3,0.371,90.86,18.75,,27.2,0.244,59.84,14.06,
Hyderabad,163,C441,17.56095,78.48856,500014,149.01,1.338,327.822,18.75,,160.4,1.44,352.88,24.17,,170.8,1.533,375.76,22.59,,134.6,1.208,296.12,18.6,,157.56,1.414,346.632,22.5,,164.7,1.479,362.34,19.67,,145.5,1.306,320.1,17.08,
Hyderabad,4,C442,17.4788,78.49242,500011,344.09,3.089,756.998,38,,257,2.307,565.4,31.33,,352.06,3.161,774.532,35.2,,360.7,3.238,793.54,34,,334.4,3.002,735.68,38,,473.8,4.254,1042.36,36.53,,480.5,4.314,1057.1,39.74,
Hyderabad,76,C443,17.45034,78.53225,500047,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,375,C444,17.50257,78.53465,500087,511.92,4.596,1126.224,33.47,,424.3,3.809,933.46,32.51,,524.75,4.711,1154.45,34.21,,396.1,3.556,871.42,32.26,,484.5,4.35,1065.9,32.46,,539.24,4.841,1186.328,33.81,,509.2,4.571,1120.24,33.6,
Hyderabad,74,C445,17.46843,78.53541,500056,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,70,C446,17.33113,78.53556,500079,0,0,0,0,,0,0,0,0,,23.43,0.21,51.546,15.49,,43.23,0.388,95.106,24.29,,28.54,0.256,62.788,22.86,,74.55,0.669,164.01,36.6,,71.36,0.641,156.992,41.46,
Hyderabad,334,C447,17.52886,78.53661,500010,66.56,0.598,146.432,10.08,,59.9,0.538,131.78,9.27,,86.2,0.774,189.64,11.61,,58.6,0.526,128.92,9.27,,63.7,0.572,140.14,10.89,,77.7,0.698,170.94,9.03,,123.7,1.111,272.14,13.71,
Hyderabad,50,C448,17.52741,78.53714,500010,118.21,1.061,260.062,21.59,,178.6,1.603,392.92,22.73,,280.1,2.515,616.22,21.33,,92.6,0.831,203.72,17.88,,136.9,1.229,301.18,17.78,,182.3,1.637,401.06,21.05,,175.8,1.578,386.76,21.43,
Hyderabad,419,C449,17.5185,78.54092,500034,98.8,0.887,217.36,36.7,,92,0.826,202.4,37.5,,108.7,0.976,239.14,32.14,,102.6,0.921,225.72,36.61,,106.3,0.954,233.86,39.29,,150.1,1.348,330.22,43.57,,129.5,1.163,284.9,41.07,
Hyderabad,67,C450,17.51993,78.54101,500010,519.52,4.664,1142.944,41.59,,458.7,4.118,1009.14,37.28,,707.9,6.355,1557.38,43.55,,521.5,4.682,1147.3,41.2,,561.4,5.04,1235.08,39.01,,555.5,4.987,1222.1,38.36,,605.3,5.434,1331.66,43.04,
Hyderabad,256,C451,17.48453,78.54408,500094,35.86,0.322,78.892,36.54,,20.1,0.18,44.22,19.23,,28.82,0.259,63.404,23.08,,31.7,0.285,69.74,25,,30.3,0.272,66.66,28,,27.2,0.244,59.84,24.59,,37.9,0.34,83.38,34.62,
Hyderabad,436,C452,17.51267,78.54585,500087,416.17,3.736,915.574,25,,478.4,4.295,1052.48,27.02,,472.4,4.241,1039.28,23.07,,362.3,3.253,797.06,24.34,,389.5,3.497,856.9,24.17,,461.5,4.143,1015.3,22.9,,441.6,3.964,971.52,25.39,
Hyderabad,18,C453,17.49284,78.5469,500056,248.65,2.232,547.03,42.92,,225.8,2.027,496.76,38.39,,376.65,3.381,828.63,38.3,,295.2,2.65,649.44,39.04,,276.8,2.485,608.96,43.86,,360.55,3.237,793.21,41.05,,392.9,3.527,864.38,44.3,
Hyderabad,5,C454,17.49991,78.55151,500087,53.26,0.478,117.172,23.81,,75.2,0.675,165.44,27.38,,67.73,0.608,149.006,24.76,,91.4,0.821,201.08,27.38,,64.6,0.58,142.12,26.19,,83.2,0.747,183.04,28.57,,104,0.934,228.8,35.71,
Hyderabad,3,C455,17.50066,78.55224,500094,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,21,C456,17.4078,78.55375,500039,3.8,0.034,8.36,100,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,11.84,0.106,26.048,100,
Hyderabad,555,C457,17.5056,78.55648,500087,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,75,C458,17.35134,78.56255,500068,79.89,0.717,175.758,27.45,,63.02,0.566,138.644,25.12,,133.78,1.201,294.316,41.3,,129.81,1.165,285.582,41.58,,123.86,1.112,272.492,42.71,,129.91,1.166,285.802,43.67,,175.06,1.572,385.132,47.96,
Hyderabad,399,C459,17.50324,78.57231,500062,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
Hyderabad,78,C460,17.36982,78.57531,500058,58.19,0.522,128.018,37.12,,58.95,0.529,129.69,36.36,,66.31,0.595,145.882,39.64,,69.36,0.623,152.592,42.86,,64.21,0.576,141.262,41.84,,162.23,1.456,356.906,51.42,,133.5,1.198,293.7,51.12,
Hyderabad,442,C461,17.4965,78.58738,500083,127.52,1.145,280.544,12.97,,88.8,0.797,195.36,10.16,,124.9,1.121,274.78,9.57,,143.2,1.286,315.04,13.03,,132.1,1.186,290.62,12.77,,209.8,1.883,461.56,12.55,,144.4,1.296,317.68,15.43,
Chennai,360,C462,13.03595,80.11826,600056,154,1.383,338.8,7.75,,157,1.409,345.4,8.01,,141.24,1.268,310.728,10.08,,229.04,2.056,503.888,9.92,,140.22,1.259,308.484,7.9,,283.95,2.549,624.69,12.55,,282.21,2.534,620.862,10.41,
Chennai,324,C463,13.04161,80.13134,600010,448.2,4.024,986.04,24.94,,381.5,3.425,839.3,24.35,,363.99,3.268,800.778,24.68,,502.75,4.513,1106.05,25.97,,258.95,2.325,569.69,18.18,,445.28,3.998,979.616,25.97,,482.47,4.331,1061.434,20.21,
Chennai,512,C464,13.01341,80.13508,600122,147.46,1.324,324.412,13.4,,212.6,1.909,467.72,21.77,,243.59,2.187,535.898,32.16,,177.92,1.597,391.424,28.64,,266.09,2.389,585.398,27.61,,204.97,1.84,450.934,29.14,,181.28,1.627,398.816,26.84,
Chennai,318,C465,13.04439,80.1564,600095,10.5,0.094,23.1,25,,2.9,0.026,6.38,18.75,,6.62,0.059,14.564,18.75,,5.84,0.052,12.848,25,,3.56,0.032,7.832,12.5,,8.24,0.074,18.128,18.75,,8.24,0.074,18.128,20,
Chennai,210,C466,13.04392,80.15748,600116,465.24,4.177,1023.528,21.24,,305,2.738,671,19.47,,435.3,3.908,957.66,24.16,,562.09,5.046,1236.598,24.8,,308.16,2.767,677.952,19.39,,498,4.471,1095.6,25.51,,561.65,5.042,1235.63,20.61,
Chennai,365,C467,12.95322,80.1634,600044,310.31,2.786,682.682,29.85,,307.8,2.763,677.16,20.02,,274.99,2.469,604.978,28.92,,307.03,2.756,675.466,25.97,,178.54,1.603,392.788,20.71,,248.54,2.231,546.788,25,,349.98,3.142,769.956,23.58,
Chennai,490,C468,12.83621,80.17181,600127,5284.43,47.441,11625.75,28.42,,3554.1,31.907,7819.02,24.78,,4194.83,37.659,9228.626,27.84,,5591.25,50.195,12300.75,29.38,,5262,47.24,11576.4,25.54,,5098.49,45.772,11216.68,32.7,,6583.2,59.101,14483.04,31.91,
